benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,1,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,2,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,3,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4,4096,2,8192,376996,46.02001953,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,5,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,6,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,7,4096,2,8192,376996,46.02001953,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,8,4096,2,8192,376874,46.00512695,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,9,4096,2,8192,376995,46.01989746,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,0,4096,2,16384,679975,41.50238037,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,1,4096,2,16384,680032,41.50585938,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,2,4096,2,16384,680032,41.50585938,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,3,4096,2,16384,679975,41.50238037,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4,4096,2,16384,679975,41.50238037,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,5,4096,2,16384,680093,41.50958252,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,6,4096,2,16384,680032,41.50585938,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,7,4096,2,16384,679975,41.50238037,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,8,4096,2,16384,680032,41.50585938,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,9,4096,2,16384,680032,41.50585938,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,0,4096,2,32768,1126559,34.37985229,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,1,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,2,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,3,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,5,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,6,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,7,4096,2,32768,1126500,34.37805176,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,8,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,9,4096,2,32768,1126498,34.37799072,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,0,4096,2,65536,868459,13.25163269,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,1,4096,2,65536,868459,13.25163269,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,2,4096,2,65536,868398,13.25070190,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,3,4096,2,65536,868459,13.25163269,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4,4096,2,65536,868459,13.25163269,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,5,4096,2,65536,868520,13.25256348,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,6,4096,2,65536,868521,13.25257874,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,7,4096,2,65536,868520,13.25256348,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,8,4096,2,65536,868459,13.25163269,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,9,4096,2,65536,868398,13.25070190,0,0
